BE_dados_as.dat,CPS_dados_as.dat,SiO2 3/2_1_dados_as.dat,SiO2 1/2_2_dados_as.dat,Si 3/2_3_dados_as.dat,Si 1/2_4_dados_as.dat,Si 1+ 3/2_5_dados_as.dat,Si 1+ 1/2_6_dados_as.dat,Si 3+ 3/2_7_dados_as.dat,Si 3+ 1/2_8_dados_as.dat,Background_dados_as.dat,Envelope_dados_as.dat,Normalised_Residual_dados_as.dat,Residual_dados_as.dat
108,53.2658,53.5161,53.4253,53.2727,53.2713,53.2757,53.2716,53.3555,53.3205,53.2658,53.848,0,0
107.98,53.1088,53.361,53.2696,53.1157,53.1144,53.1188,53.1146,53.199,53.1639,53.1088,53.6954,0,0
107.96,51.9862,52.2404,52.1484,51.9931,51.9918,51.9963,51.992,52.077,52.0416,51.9862,52.5773,0,0
107.94,51.7585,52.0146,51.9222,51.7655,51.7641,51.7686,51.7644,51.8499,51.8143,51.7585,52.3541,0,0
107.92,52.4101,52.6682,52.5752,52.4171,52.4157,52.4203,52.416,52.5021,52.4663,52.4101,53.0102,0,0
107.9,52.6064,52.8665,52.7729,52.6134,52.6121,52.6166,52.6123,52.6989,52.663,52.6064,53.2111,0,0
107.88,52.5593,52.8215,52.7273,52.5664,52.565,52.5696,52.5653,52.6524,52.6163,52.5593,53.1686,0,0
107.86,52.3944,52.6586,52.5639,52.4015,52.4001,52.4047,52.4004,52.4881,52.4518,52.3944,53.0084,0,0
107.84,51.3267,51.593,51.4977,51.3338,51.3324,51.3371,51.3327,51.4211,51.3845,51.3267,51.9455,0,0
107.82,52.0176,52.286,52.1901,52.0247,52.0234,52.0281,52.0237,52.1126,52.0759,52.0176,52.6412,0,0
107.8,51.4445,51.715,51.6186,51.4517,51.4503,51.455,51.4506,51.5401,51.5032,51.4445,52.073,0,0
107.78,52.4651,52.7378,52.6407,52.4723,52.4709,52.4757,52.4712,52.5613,52.5242,52.4651,53.0985,0,0
107.76,52.1824,52.4572,52.3596,52.1896,52.1882,52.193,52.1886,52.2792,52.2419,52.1824,52.8208,0,0
107.74,52.0176,52.2947,52.1964,52.0249,52.0235,52.0283,52.0238,52.1151,52.0776,52.0176,52.661,0,0
107.72,51.5387,51.818,51.7192,51.546,51.5446,51.5495,51.545,51.6368,51.5991,51.5387,52.1872,0,0
